Tier,Type,Facility,City,Permit #,Permit expires,Active?,Website / social (fill in),Contact — email/phone/DM (fill in),Status,Last contacted,Notes
A · SJ hot-meal,MEHKO,1977 Ma Private Kitchen,San Jose,PT0506975,2027-04-30,Y,,,Not started,,
A · SJ hot-meal,MEHKO,23rd Parallel Supper Club,San Jose,PT0507003,2027-05-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,40 Acres Soul Kitchen,San Jose,PT0507224,2027-06-30,Y,,,Not started,,
A · SJ hot-meal,MEHKO,7 Rice Ball,San Jose,PT0506122,2026-10-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,All A Board,San Jose,PT0501243,2027-04-30,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Anna Korotaieva,San Jose,PT0506881,2027-04-30,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Annie'S La Boutique,San Jose,PT0505036,2027-04-30,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Arepas Pal Tiesto,San Jose,PT0504914,2027-03-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Aum Sai Khaman-Dhokla,San Jose,PT0506718,2027-02-28,Y,,,Not started,,
A · SJ hot-meal,MEHKO,B&J,San Jose,PT0503107,2027-05-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Batel'S Kitchen,San Jose,PT0506760,2027-03-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Bep Viet,San Jose,PT0507225,2027-05-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Birrieria Marfredd,San Jose,PT0504587,2027-02-28,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Butter N Bubbles,San Jose,PT0505043,2027-04-30,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Cake Poppery,San Jose,PT0507091,2027-05-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Chioma'S Fufu,San Jose,PT0507141,2027-05-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Cj'S Zest And Fire Home Kitchen,San Jose,PT0507071,2027-05-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Comida Nica Las Gemelas,San Jose,PT0505677,2027-07-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Conchita Cenaduria,San Jose,PT0505042,2027-04-30,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Cookie Pie Cafe,San Jose,PT0503332,2027-06-30,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Cruzin Sub And Deli,San Jose,PT0505784,2026-08-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Deleite Celestial Desserts,San Jose,PT0504234,2026-12-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Driftwood Bbq,San Jose,PT0506883,2027-04-30,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Duong Huu Ai Nguyen,San Jose,PT0503502,2027-07-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,El Patio Nicaraguense,San Jose,PT0504016,2026-10-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,El Rancho Relaxo Barbecue,San Jose,PT0507117,2027-06-30,Y,,,Not started,,
A · SJ hot-meal,MEHKO,El Sabor De La Vida,San Jose,PT0507322,2027-06-30,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Elien'S Coffee Addiction,San Jose,PT0505040,2027-04-30,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Ely'S Bakery,San Jose,PT0505151,2027-04-30,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Evergreen Eatery,San Jose,PT0506000,2026-09-30,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Fresh Space Kitchen,San Jose,PT0504548,2027-01-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Guilt Train,San Jose,PT0502051,2026-08-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Hao'S House,San Jose,PT0506369,2026-12-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Happy Harvest Kitchen,San Jose,PT0504951,2027-03-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,I Cakes Creative,San Jose,PT0504977,2027-03-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Indian Bite,San Jose,PT0507323,2027-06-30,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Julies British Bakery,San Jose,PT0501452,2027-05-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Kathy'S Creations,San Jose,PT0505291,2027-05-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Kelicious Moon,San Jose,PT0505251,2027-05-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Kitoz Burger,San Jose,PT0506354,2026-12-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Ky Trang Tsan,San Jose,PT0503336,2027-06-30,Y,,,Not started,,
A · SJ hot-meal,MEHKO,La Cazuela Del Sabor,San Jose,PT0504233,2026-12-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,La Chulita Kitchen,San Jose,PT0504905,2027-03-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,La Villa Con Sabor De Hogar,San Jose,PT0506307,2026-12-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Lakwatsa Coffee,San Jose,PT0507073,2027-05-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Las Tres Tapatias,San Jose,PT0503616,2026-08-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Liana Nguyen,San Jose,PT0507462,2027-07-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Little Miss Chef,San Jose,PT0503907,2026-09-30,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Lucky Truckin Coffee,San Jose,PT0505786,2026-08-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Malgudi,San Jose,PT0506550,2027-01-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Mama Roc'S Puerto Rican Kitchen,San Jose,PT0504530,2027-01-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Mana Ruchi,San Jose,PT0506274,2026-11-30,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Marbled Cuts Fine Meats,San Jose,PT0504161,2026-11-30,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Mariana'S Antojitos Y Mas,San Jose,PT0506776,2028-03-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Mariscos El Leonsillo,San Jose,PT0506447,2027-01-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,"Maxico ""La Tragaderia""",San Jose,PT0502202,2026-10-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Mehreen'S Kitchen,San Jose,PT0501862,2026-08-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Mi Linda'S Cosina,San Jose,PT0505463,2027-06-30,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Mimi Bean Paste Flower Cake,San Jose,PT0502425,2026-12-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Mini Queen Pancakes,San Jose,PT0505789,2026-08-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Morecake,San Jose,PT0504593,2027-02-28,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Mota,San Jose,PT0506546,2027-01-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Mu Mu Kitchen,San Jose,PT0502096,2026-09-30,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Mytiffin.Com,San Jose,PT0506353,2026-12-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Ngoc Duyen Tran,San Jose,PT0503503,2027-07-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Oanh Nguyen,San Jose,PT0504969,2027-03-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Om Nom,San Jose,PT0505038,2027-04-30,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Ouiyang Patisserie,San Jose,PT0504547,2027-01-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Palate Lab,San Jose,PT0504591,2027-02-28,Y,,,Not started,,
A · SJ hot-meal,MEHKO,"Papa Bud'S Cajun, Creole & Bbq",San Jose,PT0501312,2027-04-30,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Plantful Inspiration,San Jose,PT0502399,2026-12-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,"Quach, Hue",San Jose,PT0503087,2027-04-30,Y,,,Not started,,
A · SJ hot-meal,MEHKO,"Quach, Nga",San Jose,PT0503088,2027-05-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Rest Is The Rebellion,San Jose,PT0506222,2026-11-30,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Restaurante San Sebastian,San Jose,PT0501861,2026-08-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Rustic Grazing,San Jose,PT0504912,2027-03-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Say Boulangerie,San Jose,PT0504592,2027-02-28,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Sidekick Cafe,San Jose,PT0504950,2027-03-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Simply Delicious,San Jose,PT0504911,2027-03-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Slo Burn Bbq,San Jose,PT0504949,2027-03-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Sonia'S Antojito'S & Delicia'S,San Jose,PT0504908,2027-03-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Spice And Simmer,San Jose,PT0505149,2027-04-30,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Spice Saga,San Jose,PT0506367,2026-12-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Susy Custom Cakes,San Jose,PT0503278,2027-05-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Tajal,San Jose,PT0505214,2027-04-30,Y,,,Not started,,
A · SJ hot-meal,MEHKO,"Taquitos Dorados Y Tostadas ""El Pancitas""",San Jose,PT0505298,2027-05-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Tatiana Margarit,San Jose,PT0506882,2027-05-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,The Chatori House,San Jose,PT0506775,2028-03-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,The Little Baker,San Jose,PT0506368,2026-12-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,The Saffron Edit,San Jose,PT0506955,2027-04-30,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Trang Nguyen,San Jose,PT0503501,2027-07-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Trinh Nguyen,San Jose,PT0505150,2027-04-30,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Venky'S Kitchen,San Jose,PT0507002,2027-05-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Vivi'S Lasagna & More,San Jose,PT0502402,2026-12-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Xiangyu Kitchen Lab,San Jose,PT0502947,2027-03-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Yi-Novation,San Jose,PT0503727,2026-08-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Z8 Cafe,San Jose,PT0501453,2027-05-31,Y,,,Not started,,
A · SJ hot-meal,MEHKO,Zingo,San Jose,PT0507143,2027-05-31,Y,,,Not started,,
B · SJ baker,Cottage,10 Am Bakery,San Jose,PT0506850,2027-03-31,Y,,,Not started,,
B · SJ baker,Cottage,6500 Leyland Bakery,San Jose,PT0497147,2027-02-28,Y,,,Not started,,
B · SJ baker,Cottage,Adorned By Amberly,San Jose,PT0506438,2027-01-31,Y,,,Not started,,
B · SJ baker,Cottage,Andy'S Nuts,San Jose,PT0505016,2027-04-30,Y,,,Not started,,
B · SJ baker,Cottage,Ashley Mendoza,San Jose,PT0502468,2027-01-31,Y,,,Not started,,
B · SJ baker,Cottage,Baby Tiger Bakery,San Jose,PT0501859,2026-08-31,Y,,,Not started,,
B · SJ baker,Cottage,Bad Girl Chocolates,San Jose,PT0506014,2026-10-31,Y,,,Not started,,
B · SJ baker,Cottage,Baking Con Amor 408,San Jose,PT0507168,2027-05-31,Y,,,Not started,,
B · SJ baker,Cottage,Barb'S Beans,San Jose,PT0500431,2026-09-30,Y,,,Not started,,
B · SJ baker,Cottage,Better Bakes,San Jose,PT0506988,2027-04-30,Y,,,Not started,,
B · SJ baker,Cottage,Billi Bakery,San Jose,PT0503572,2027-07-31,Y,,,Not started,,
B · SJ baker,Cottage,Blissful Bite,San Jose,PT0500620,2026-10-31,Y,,,Not started,,
B · SJ baker,Cottage,Bon Bons Du Soleil,San Jose,PT0495193,2026-11-30,Y,,,Not started,,
B · SJ baker,Cottage,Brianna'S Baking,San Jose,PT0505849,2026-09-30,Y,,,Not started,,
B · SJ baker,Cottage,Brown Butter & Crumbs,San Jose,PT0506439,2027-01-31,Y,,,Not started,,
B · SJ baker,Cottage,Browned Butter Babe Co,San Jose,PT0500463,2026-09-30,Y,,,Not started,,
B · SJ baker,Cottage,Buttered Spatula,San Jose,PT0501763,2027-07-31,Y,,,Not started,,
B · SJ baker,Cottage,Cafe De Roxy,San Jose,PT0504922,2027-03-31,Y,,,Not started,,
B · SJ baker,Cottage,Caramella Dolci Toffee,San Jose,PT0506748,2027-02-28,Y,,,Not started,,
B · SJ baker,Cottage,Carmen'S Confections,San Jose,PT0498489,2026-10-31,Y,,,Not started,,
B · SJ baker,Cottage,Cedric Bakes,San Jose,PT0500412,2026-09-30,Y,,,Not started,,
B · SJ baker,Cottage,Cezaine Pies And Sweets,San Jose,PT0496942,2026-12-31,Y,,,Not started,,
B · SJ baker,Cottage,Chipidee Cookies,San Jose,PT0496580,2026-08-31,Y,,,Not started,,
B · SJ baker,Cottage,Choco & Kin,San Jose,PT0506906,2027-03-31,Y,,,Not started,,
B · SJ baker,Cottage,Cocoacumin,San Jose,PT0504497,2027-01-31,Y,,,Not started,,
B · SJ baker,Cottage,Concha-La-La,San Jose,PT0504722,2027-02-28,Y,,,Not started,,
B · SJ baker,Cottage,Constellation Baking Company,San Jose,PT0503043,2027-04-30,Y,,,Not started,,
B · SJ baker,Cottage,Cookies...By Delia,San Jose,PT0506990,2027-04-30,Y,,,Not started,,
B · SJ baker,Cottage,Crafty Cakes,San Jose,PT0502060,2026-09-30,Y,,,Not started,,
B · SJ baker,Cottage,Daisylicious Cakes,San Jose,PT0505582,2026-09-30,Y,,,Not started,,
B · SJ baker,Cottage,Dani Got Cakes,San Jose,PT0504033,2026-11-30,Y,,,Not started,,
B · SJ baker,Cottage,Dear Bread,San Jose,PT0507018,2027-04-30,Y,,,Not started,,
B · SJ baker,Cottage,Dh Cake Studio Inc.,San Jose,PT0498188,2027-07-31,Y,,,Not started,,
B · SJ baker,Cottage,Dip And Sprinkle,San Jose,PT0506991,2027-04-30,Y,,,Not started,,
B · SJ baker,Cottage,Dip N Sip,San Jose,PT0502788,2027-03-31,Y,,,Not started,,
B · SJ baker,Cottage,Eku Eku Bakery,San Jose,PT0506452,2027-01-31,Y,,,Not started,,
B · SJ baker,Cottage,Elika Kitchen,San Jose,PT0501704,2027-07-31,Y,,,Not started,,
B · SJ baker,Cottage,Essential Cookies,San Jose,PT0505015,2027-04-30,Y,,,Not started,,
B · SJ baker,Cottage,Fenjun Coffee,San Jose,PT0506539,2027-02-28,Y,,,Not started,,
B · SJ baker,Cottage,Food Artist Studio,San Jose,PT0493190,2026-11-30,Y,,,Not started,,
B · SJ baker,Cottage,Franci Cakes,San Jose,PT0482754,2027-01-31,Y,,,Not started,,
B · SJ baker,Cottage,From Em,San Jose,PT0507169,2027-05-31,Y,,,Not started,,
B · SJ baker,Cottage,Gamisarapgood,San Jose,PT0497824,2027-05-31,Y,,,Not started,,
B · SJ baker,Cottage,Gathering Artisans Collective,San Jose,PT0501180,2027-03-31,Y,,,Not started,,
B · SJ baker,Cottage,Gigil Bakehouse,San Jose,PT0505777,2027-08-31,Y,,,Not started,,
B · SJ baker,Cottage,Giveth The Beans,San Jose,PT0500870,2027-01-31,Y,,,Not started,,
B · SJ baker,Cottage,Graciela'S Bakery,San Jose,PT0501673,2027-06-30,Y,,,Not started,,
B · SJ baker,Cottage,Gulrangi,San Jose,PT0503969,2026-10-31,Y,,,Not started,,
B · SJ baker,Cottage,Gup Shup Bakes,San Jose,PT0506692,2027-02-28,Y,,,Not started,,
B · SJ baker,Cottage,Hd'S Corner,San Jose,PT0503046,2027-04-30,Y,,,Not started,,
